ONS.LA.Code,ONS.LA.Name,CQC.HSCA.LocationID.Count,CQC.HSCA.CareHomeBeds.Sum,CQCRatings.Rat.New.2.Overall.Good.Beds,CQCRatings.Rat.New.2.Overall.ImprovementsReqd.Beds,CQCRatings.Rat.New.2.Overall.Inqdequate.Beds,CQCRatings.Rat.New.2.Overall.NoActionReqd.Beds,CQCRatings.Rat.New.2.Overall.NotAvail.Beds,CQCRatings.Rat.New.2.Overall.NotSufficEvidence.Beds,CQCRatings.Rat.New.2.Overall.Outstanding.Beds,CQCRatings.Rat.New.2.Overall.ReqImprovement.Beds,CQCRatings.Rat.New.2.Overall.NA.Beds,ONS.Population16.64.000s,ONS.Employment16.000s,ONS.EmploymentRate16.64,ONS.Unemployment16.000s,ONS.UnemploymentRate,ONS.EconomicInactivity16.64.000s,ONS.EconomicInactivityRate16.64,ONS.JobseekersAllowanceLevel,ONS.JobseekersAllowanceProportion,ONS.LabourDemandJobs000s,ONS.LabourDemandJobsDensity16.64
E09000028,Southwark,15,636,167,0,188,0,22,0,48,55,156,222,161,72.2,13,7.4,45,20.5,6326,2.8,256,1.17
E08000013,St. Helens,26,1115,406,0,39,0,0,0,0,109,561,110,80,69,6,7.5,28,24.9,2740,2.5,66,0.6
E10000028,Staffordshire,188,7102,1381,29,243,0,8,0,0,2418,3023,536,411,74.6,16,3.8,113,21.3,5765,1.1,383,0.71
E08000007,Stockport,61,2356,213,0,50,0,0,0,0,410,1683,177,140,77.9,8,5.2,32,18.1,3251,1.8,137,0.77
E06000004,Stockton-on-Tees,39,1816,588,0,25,0,44,0,0,419,740,123,89,71.4,7,7.4,29,23.7,4193,3.4,88,0.71
E06000021,Stoke-on-Trent,55,2100,430,0,0,0,0,0,62,776,832,159,114,70,8,6.4,39,24.6,4032,2.5,124,0.77
E10000029,Suffolk,163,6675,1815,0,186,0,0,80,49,1830,2715,442,353,76,16,4.4,90,20.6,6079,1.4,356,0.8
E08000024,Sunderland,55,2370,638,0,24,0,0,0,0,517,1191,178,114,63.9,10,8.3,54,30.5,5952,3.3,124,0.69
E10000030,Surrey,300,11202,1180,0,402,6,0,0,24,2857,6733,721,578,77.3,20,3.4,141,19.7,5054,0.7,628,0.87
E09000029,Sutton,44,1053,466,0,23,0,0,0,0,73,491,128,101,76.7,6,5.3,24,19.1,1727,1.4,77,0.61
E06000030,Swindon,29,1070,159,0,43,0,44,0,0,175,649,140,112,76.4,6,5.1,27,19.2,2110,1.5,121,0.87
E08000008,Tameside,40,1830,339,0,0,0,0,0,0,308,1183,140,101,69.3,6,5.2,38,27.2,2645,1.9,76,0.54
E06000020,Telford and Wrekin,27,1041,360,0,0,0,0,0,0,319,362,108,78,71,4,5.4,26,24.7,2123,2,87,0.8
E06000034,Thurrock,18,632,203,0,0,0,0,0,0,51,378,105,78,72.6,5,6.6,23,22.5,2282,2.2,68,0.65
E06000027,Torbay,72,2122,354,0,0,0,0,0,0,575,1193,77,57,72.9,4,6,17,22.3,1752,2.3,58,0.75
E09000030,Tower Hamlets,7,349,51,0,0,0,0,0,0,244,54,210,142,69.5,14,8.9,45,22.4,5601,2.7,270,1.34
E08000009,Trafford,40,1340,191,0,96,0,22,0,0,117,914,145,114,76,6,5,27,18.5,1893,1.3,148,1.02
E08000036,Wakefield,60,2453,213,0,243,21,0,0,0,969,1007,209,150,71.7,10,6.4,48,23.2,5120,2.4,156,0.74
E08000030,Walsall,45,1578,218,0,45,0,0,0,0,462,853,168,113,65.7,10,8.1,46,27.5,5462,3.3,106,0.64
E09000031,Waltham Forest,29,884,268,0,68,0,0,0,0,74,474,182,134,72.4,11,7.5,42,23.1,5244,2.9,82,0.45
E09000032,Wandsworth,22,1101,79,0,169,0,0,0,0,262,591,228,183,78.5,10,5,39,17.1,3710,1.6,135,0.59
E06000007,Warrington,34,1780,693,0,43,120,0,0,0,166,758,131,102,76.9,5,4.5,25,19.2,1830,1.4,134,1.02
E10000031,Warwickshire,118,4452,1468,0,70,0,0,0,90,727,2097,342,279,78,10,3.4,69,20.2,3746,1.1,299,0.87
E06000037,West Berkshire,23,627,231,0,0,8,0,0,0,59,329,97,84,83.5,3,3,13,13.7,655,0.7,100,1.03
E10000032,West Sussex,268,8849,2155,0,396,19,0,0,61,1151,5067,495,412,78.8,17,3.9,85,17.4,5108,1,419,0.85
E09000033,Westminster,11,383,43,0,0,0,0,0,0,48,292,169,112,63.7,8,6.7,50,30.1,2860,1.7,717,4.35
E08000010,Wigan,48,2135,210,0,0,0,0,0,0,717,1208,203,156,75.8,9,5.2,39,19.6,3925,1.9,113,0.55
E06000054,Wiltshire,127,4420,573,0,178,0,103,0,0,1132,2434,295,240,79.7,9,3.6,49,17.1,2657,0.9,223,0.76
E06000040,Windsor and Maidenhead,27,1225,202,0,0,0,0,0,0,340,683,91,75,79.6,3,3.4,16,17.8,758,0.8,88,0.96
E08000015,Wirral,78,2765,317,0,184,0,0,0,0,786,1478,195,137,67.4,9,6.2,54,27.4,3706,1.9,113,0.58
E06000041,Wokingham,28,998,276,0,0,0,0,0,0,208,514,99,82,78.8,2,2.9,19,19,571,0.6,84,0.85
E08000031,Wolverhampton,61,2133,380,0,50,0,0,0,0,596,1107,159,102,63,12,10.4,46,28.9,7616,4.8,124,0.78
E10000034,Worcestershire,139,4986,1782,0,0,0,0,0,0,886,2318,352,288,78.2,13,4.3,66,18.9,5014,1.4,263,0.74
E06000014,York,35,1522,179,0,102,0,110,0,0,285,846,136,102,74.4,4,3.9,30,22.6,1179,0.9,114,0.85
